WordItem,colour,WordItem2,corr_res,trialsStudy.thisRepN,trialsStudy.thisTrialN,trialsStudy.thisN,trialsStudy.thisIndex,trialsTest.thisRepN,trialsTest.thisTrialN,trialsTest.thisN,trialsTest.thisIndex,thisRow.t,notes,welcomescreen.started,textWelcome.started,keyWelcome.started,welcomescreen.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.duration,StudyTrial.started,textStudyWord.started,StudyTrial.stopped,WaitScreen.started,textWait.started,keyWait.started,WaitScreen.stopped,keyWait.keys,keyWait.rt,keyWait.duration,Blank500.started,textBlank500.started,textBlank500.stopped,Blank500.stopped,TestTrial.started,textTestWord.started,keyTest.started,TestTrial.stopped,keyTest.keys,keyTest.corr,keyTest.rt,keyTest.duration,EndScreen.started,textEnd.started,textEnd.stopped,EndScreen.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,0.026708199991844594,0.03876769996713847,0.03876769996713847,3.2125157000264153,space,3.1554055999731645,None,,,,,,,,,,,,,,,,,,,,,,,,,,,3,001,2024-12-04_16h09.26.403,recognition_memorySP,2024.1.5,None,2024-12-04 16h09.56.139675 +0530,
Bag,blue,,,0,0,0,5,,,,,3.240936700021848,,,,,,,,,3.228506000014022,3.240936700021848,8.224190899985842,,,,,,,,,,,,,,,,,,,,,,,,3,001,2024-12-04_16h09.26.403,recognition_memorySP,2024.1.5,None,2024-12-04 16h09.56.139675 +0530,
Mountain,green,,,0,1,1,2,,,,,8.245103499968536,,,,,,,,,8.224859600071795,8.245103499968536,13.213310200022534,,,,,,,,,,,,,,,,,,,,,,,,3,001,2024-12-04_16h09.26.403,recognition_memorySP,2024.1.5,None,2024-12-04 16h09.56.139675 +0530,
Book,blue,,,0,2,2,4,,,,,13.227970400010236,,,,,,,,,13.21432220004499,13.227970400010236,18.22523900005035,,,,,,,,,,,,,,,,,,,,,,,,3,001,2024-12-04_16h09.26.403,recognition_memorySP,2024.1.5,None,2024-12-04 16h09.56.139675 +0530,
Valley,blue,,,0,3,3,3,,,,,18.242498100036755,,,,,,,,,18.225991600076668,18.242498100036755,23.22520230000373,,,,,,,,,,,,,,,,,,,,,,,,3,001,2024-12-04_16h09.26.403,recognition_memorySP,2024.1.5,None,2024-12-04 16h09.56.139675 +0530,
Friend,green,,,0,4,4,0,,,,,23.241329599986784,,,,,,,,,23.22594310005661,23.241329599986784,28.225225200061686,,,,,,,,,,,,,,,,,,,,,,,,3,001,2024-12-04_16h09.26.403,recognition_memorySP,2024.1.5,None,2024-12-04 16h09.56.139675 +0530,
Phone,green,,,0,5,5,1,,,,,28.241229200037196,,,,,,,,,28.22596140007954,28.241229200037196,33.22486580000259,,,,,,,,,,,,,,,,,,,,,,,,3,001,2024-12-04_16h09.26.403,recognition_memorySP,2024.1.5,None,2024-12-04 16h09.56.139675 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,33.224979800055735,33.241728299995884,33.241728299995884,36.95944300002884,space,3.7115422999486327,None,,,,,,,,,,,,,,,,,3,001,2024-12-04_16h09.26.403,recognition_memorySP,2024.1.5,None,2024-12-04 16h09.56.139675 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.959491900051944,36.974502600030974,37.475177000043914,37.45862539997324,,,,,,,,,,,,,3,001,2024-12-04_16h09.26.403,recognition_memorySP,2024.1.5,None,2024-12-04 16h09.56.139675 +0530,
,blue,Valley,y,,,,,0,0,0,3,37.475177000043914,,,,,,,,,,,,,,,,,,,,,,,37.46758769999724,37.475177000043914,37.475177000043914,40.475735099986196,y,1,2.991087800008245,None,,,,,3,001,2024-12-04_16h09.26.403,recognition_memorySP,2024.1.5,None,2024-12-04 16h09.56.139675 +0530,
,green,Mountain,y,,,,,0,1,1,2,40.49138700007461,,,,,,,,,,,,,,,,,,,,,,,40.480104500078596,40.49138700007461,40.49138700007461,41.92663130001165,y,1,1.43050699995365,None,,,,,3,001,2024-12-04_16h09.26.403,recognition_memorySP,2024.1.5,None,2024-12-04 16h09.56.139675 +0530,
,blue,Bag,y,,,,,0,2,2,5,41.941429600003175,,,,,,,,,,,,,,,,,,,,,,,41.92748790001497,41.941429600003175,41.941429600003175,44.109173299977556,y,1,2.1531885999720544,None,,,,,3,001,2024-12-04_16h09.26.403,recognition_memorySP,2024.1.5,None,2024-12-04 16h09.56.139675 +0530,
,green,phone,y,,,,,0,3,3,1,44.12451140000485,,,,,,,,,,,,,,,,,,,,,,,44.10963049996644,44.12451140000485,44.12451140000485,46.309194699977525,y,1,2.1747312999796122,None,,,,,3,001,2024-12-04_16h09.26.403,recognition_memorySP,2024.1.5,None,2024-12-04 16h09.56.139675 +0530,
,green,Land,n,,,,,0,4,4,6,46.32442710001487,,,,,,,,,,,,,,,,,,,,,,,46.309798300033435,46.32442710001487,46.32442710001487,47.34224899997935,n,1,1.0104987000813708,None,,,,,3,001,2024-12-04_16h09.26.403,recognition_memorySP,2024.1.5,None,2024-12-04 16h09.56.139675 +0530,
,blue,Pet,n,,,,,0,5,5,9,47.35787419998087,,,,,,,,,,,,,,,,,,,,,,,47.34289299999364,47.35787419998087,47.35787419998087,48.193084500031546,n,1,0.8287025999743491,None,,,,,3,001,2024-12-04_16h09.26.403,recognition_memorySP,2024.1.5,None,2024-12-04 16h09.56.139675 +0530,
,green,friend,y,,,,,0,6,6,0,48.20807499997318,,,,,,,,,,,,,,,,,,,,,,,48.193768800003454,48.20807499997318,48.20807499997318,51.07806780003011,y,1,2.8654247000813484,None,,,,,3,001,2024-12-04_16h09.26.403,recognition_memorySP,2024.1.5,None,2024-12-04 16h09.56.139675 +0530,
,blue,Street,n,,,,,0,7,7,11,51.09131609997712,,,,,,,,,,,,,,,,,,,,,,,51.078801800031215,51.09131609997712,51.09131609997712,52.06140340003185,n,1,0.9650037999963388,None,,,,,3,001,2024-12-04_16h09.26.403,recognition_memorySP,2024.1.5,None,2024-12-04 16h09.56.139675 +0530,
,green,Hammer,n,,,,,0,8,8,8,52.07873660000041,,,,,,,,,,,,,,,,,,,,,,,52.0622881000163,52.07873660000041,52.07873660000041,53.09433660004288,n,1,0.9981892000650987,None,,,,,3,001,2024-12-04_16h09.26.403,recognition_memorySP,2024.1.5,None,2024-12-04 16h09.56.139675 +0530,
,green,Globe,n,,,,,0,9,9,7,53.109819200006314,,,,,,,,,,,,,,,,,,,,,,,53.09526930004358,53.109819200006314,53.109819200006314,53.99415579997003,n,1,0.8695304000284523,None,,,,,3,001,2024-12-04_16h09.26.403,recognition_memorySP,2024.1.5,None,2024-12-04 16h09.56.139675 +0530,
,blue,Wire,n,,,,,0,10,10,10,54.00804230000358,,,,,,,,,,,,,,,,,,,,,,,53.99494800006505,54.00804230000358,54.00804230000358,55.277454099967144,n,1,1.259136899956502,None,,,,,3,001,2024-12-04_16h09.26.403,recognition_memorySP,2024.1.5,None,2024-12-04 16h09.56.139675 +0530,
,blue,Book,y,,,,,0,11,11,4,55.291370999999344,,,,,,,,,,,,,,,,,,,,,,,55.278588099987246,55.291370999999344,55.291370999999344,56.276187299983576,y,1,0.9775919000385329,None,,,,,3,001,2024-12-04_16h09.26.403,recognition_memorySP,2024.1.5,None,2024-12-04 16h09.56.139675 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.27674790006131,56.291446699993685,57.29165719996672,57.27679340005852,3,001,2024-12-04_16h09.26.403,recognition_memorySP,2024.1.5,None,2024-12-04 16h09.56.139675 +0530,
