stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,number of trials,stair.response,tilt,key_resp.corr,,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart
0,2,10,0.0445426,,0.0332397,0.0445426,0.5264391,0.5264391,0.563146,0.8278389,19.4416787,right,1,1,10,1,,18.8864048,691490,1,2024-09-09_23h47.21.566,adaptive_staircase,2024.1.5,None,2024-09-09 23h47.27.156139 +0530
1,2,8,19.4601137,,19.4418055,19.4601137,19.9458956,19.9458956,19.9625223,20.2615438,21.8007645,left,2,1,-8,1,,1.8507086,691490,1,2024-09-09_23h47.21.566,adaptive_staircase,2024.1.5,None,2024-09-09 23h47.27.156139 +0530
2,1,6,21.8117639,,21.8008897,21.8117639,22.312905,22.312905,22.312905,22.6118442,23.3648935,left,3,0,-6,0,,1.0480482,691490,1,2024-09-09_23h47.21.566,adaptive_staircase,2024.1.5,None,2024-09-09 23h47.27.156139 +0530
3,1,7,23.3786366,,23.3650182,23.3786366,23.87928,23.87928,23.87928,24.1793011,25.3801341,left,4,1,-7,1,,1.4904965,691490,1,2024-09-09_23h47.21.566,adaptive_staircase,2024.1.5,None,2024-09-09 23h47.27.156139 +0530
4,1,7,25.3957591,,25.380284,25.3957591,25.878733,25.878733,25.8961377,26.1790225,27.0971315,left,5,1,-7,1,,1.2034899,691490,1,2024-09-09_23h47.21.566,adaptive_staircase,2024.1.5,None,2024-09-09 23h47.27.156139 +0530
5,1,7,27.1120493,,27.0972679,27.1120493,27.6124703,27.6124703,27.6124703,27.9117695,29.1133127,right,6,1,7,1,,1.4900749,691490,1,2024-09-09_23h47.21.566,adaptive_staircase,2024.1.5,None,2024-09-09 23h47.27.156139 +0530
6,0.5,6,29.1289941,,29.1134465,29.1289941,29.6125267,29.6125267,29.6292671,29.9124069,31.6475686,left,7,0,-6,0,,2.0268116,691490,1,2024-09-09_23h47.21.566,adaptive_staircase,2024.1.5,None,2024-09-09 23h47.27.156139 +0530
7,0.5,6.5,31.6625002,,31.6476864,31.6625002,32.1630584,32.1630584,32.1630584,32.4619609,33.5982736,right,9,1,6.5,1,,1.4179677,691490,1,2024-09-09_23h47.21.566,adaptive_staircase,2024.1.5,None,2024-09-09 23h47.27.156139 +0530
8,0.5,6.5,33.6153013,,33.5984679,33.6153013,34.1121213,34.1121213,34.1294539,34.412285,34.9801,left,10,1,-6.5,1,,0.8590455,691490,1,2024-09-09_23h47.21.566,adaptive_staircase,2024.1.5,None,2024-09-09 23h47.27.156139 +0530
9,0.5,6.5,34.9950151,,34.9802184,34.9950151,35.4963305,35.4963305,35.4963305,35.7957889,36.6643263,left,11,1,-6.5,1,,1.1638111,691490,1,2024-09-09_23h47.21.566,adaptive_staircase,2024.1.5,None,2024-09-09 23h47.27.156139 +0530
