WordItem,colour,WordItem2,corr_res,trialsStudy.thisRepN,trialsStudy.thisTrialN,trialsStudy.thisN,trialsStudy.thisIndex,trialsTest.thisRepN,trialsTest.thisTrialN,trialsTest.thisN,trialsTest.thisIndex,thisRow.t,notes,welcomescreen.started,textWelcome.started,keyWelcome.started,welcomescreen.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.duration,StudyTrial.started,textStudyWord.started,StudyTrial.stopped,WaitScreen.started,textWait.started,keyWait.started,WaitScreen.stopped,keyWait.keys,keyWait.rt,keyWait.duration,Blank500.started,textBlank500.started,textBlank500.stopped,Blank500.stopped,TestTrial.started,textTestWord.started,keyTest.started,TestTrial.stopped,keyTest.keys,keyTest.corr,keyTest.rt,keyTest.duration,EndScreen.started,textEnd.started,textEnd.stopped,EndScreen.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,0.0225266000488773,0.030360199976712465,0.030360199976712465,3.0387279000133276,space,2.987341900006868,None,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-12-04_15h37.52.852,recognition_memorySP,2024.1.5,None,2024-12-04 15h38.01.226574 +0530,
Phone,green,,,0,0,0,1,,,,,3.0609765000408515,,,,,,,,,3.0496506999479607,3.0609765000408515,8.047767500043847,,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-12-04_15h37.52.852,recognition_memorySP,2024.1.5,None,2024-12-04 15h38.01.226574 +0530,
Bag,blue,,,0,1,1,5,,,,,8.064036799944006,,,,,,,,,8.048351599951275,8.064036799944006,13.323824799968861,,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-12-04_15h37.52.852,recognition_memorySP,2024.1.5,None,2024-12-04 15h38.01.226574 +0530,
Friend,green,,,0,2,2,0,,,,,13.33635040000081,,,,,,,,,13.324203599942848,13.33635040000081,18.04826770001091,,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-12-04_15h37.52.852,recognition_memorySP,2024.1.5,None,2024-12-04 15h38.01.226574 +0530,
Book,blue,,,0,3,3,4,,,,,18.06437909998931,,,,,,,,,18.048961899941787,18.06437909998931,23.048387399991043,,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-12-04_15h37.52.852,recognition_memorySP,2024.1.5,None,2024-12-04 15h38.01.226574 +0530,
Valley,blue,,,0,4,4,3,,,,,23.064548299997114,,,,,,,,,23.04931409994606,23.064548299997114,28.048189599998295,,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-12-04_15h37.52.852,recognition_memorySP,2024.1.5,None,2024-12-04 15h38.01.226574 +0530,
Mountain,green,,,0,5,5,2,,,,,28.06436429999303,,,,,,,,,28.04884459997993,28.06436429999303,33.04811790003441,,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-12-04_15h37.52.852,recognition_memorySP,2024.1.5,None,2024-12-04 15h38.01.226574 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,33.04830669995863,33.06482379999943,33.06482379999943,36.65069689997472,space,3.568354899995029,None,,,,,,,,,,,,,,,,,1,001,2024-12-04_15h37.52.852,recognition_memorySP,2024.1.5,None,2024-12-04 15h38.01.226574 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.650765800033696,36.664764099987224,37.17192230001092,37.14954220002983,,,,,,,,,,,,,1,001,2024-12-04_15h37.52.852,recognition_memorySP,2024.1.5,None,2024-12-04 15h38.01.226574 +0530,
,blue,Book,y,,,,,0,0,0,4,37.17192230001092,,,,,,,,,,,,,,,,,,,,,,,37.16068420000374,37.17192230001092,37.17192230001092,38.96669639996253,y,1,1.7772035000380129,None,,,,,1,001,2024-12-04_15h37.52.852,recognition_memorySP,2024.1.5,None,2024-12-04 15h38.01.226574 +0530,
,blue,Street,n,,,,,0,1,1,11,38.980819200049154,,,,,,,,,,,,,,,,,,,,,,,38.96783089998644,38.980819200049154,38.980819200049154,40.519551899982616,n,1,1.5344436999876052,None,,,,,1,001,2024-12-04_15h37.52.852,recognition_memorySP,2024.1.5,None,2024-12-04 15h38.01.226574 +0530,
,green,Mountain,y,,,,,0,2,2,2,40.53112649999093,,,,,,,,,,,,,,,,,,,,,,,40.52029210003093,40.53112649999093,40.53112649999093,41.70050729997456,y,1,1.158866300014779,None,,,,,1,001,2024-12-04_15h37.52.852,recognition_memorySP,2024.1.5,None,2024-12-04 15h38.01.226574 +0530,
,green,Globe,n,,,,,0,3,3,7,41.71581830002833,,,,,,,,,,,,,,,,,,,,,,,41.701393399969675,41.71581830002833,41.71581830002833,42.68397070001811,n,1,0.9561046999879181,None,,,,,1,001,2024-12-04_15h37.52.852,recognition_memorySP,2024.1.5,None,2024-12-04 15h38.01.226574 +0530,
,green,Hammer,n,,,,,0,4,4,8,42.69986930000596,,,,,,,,,,,,,,,,,,,,,,,42.684986599953845,42.69986930000596,42.69986930000596,43.832544500008225,n,1,1.116201699944213,None,,,,,1,001,2024-12-04_15h37.52.852,recognition_memorySP,2024.1.5,None,2024-12-04 15h38.01.226574 +0530,
,blue,Wire,n,,,,,0,5,5,10,43.84774130000733,,,,,,,,,,,,,,,,,,,,,,,43.833345300052315,43.84774130000733,43.84774130000733,45.58274480002001,n,1,1.7296960999956354,None,,,,,1,001,2024-12-04_15h37.52.852,recognition_memorySP,2024.1.5,None,2024-12-04 15h38.01.226574 +0530,
,blue,Bag,y,,,,,0,6,6,5,45.59772670001257,,,,,,,,,,,,,,,,,,,,,,,45.583529499941505,45.59772670001257,45.59772670001257,46.66928020003252,y,1,1.067968500079587,None,,,,,1,001,2024-12-04_15h37.52.852,recognition_memorySP,2024.1.5,None,2024-12-04 15h38.01.226574 +0530,
,blue,Valley,y,,,,,0,7,7,3,46.68100149999373,,,,,,,,,,,,,,,,,,,,,,,46.67007270001341,46.68100149999373,46.68100149999373,47.66706190002151,y,1,0.9757081000134349,None,,,,,1,001,2024-12-04_15h37.52.852,recognition_memorySP,2024.1.5,None,2024-12-04 15h38.01.226574 +0530,
,green,Land,n,,,,,0,8,8,6,47.68082779995166,,,,,,,,,,,,,,,,,,,,,,,47.667818999965675,47.68082779995166,47.68082779995166,48.81739630002994,n,1,1.1310719000175595,None,,,,,1,001,2024-12-04_15h37.52.852,recognition_memorySP,2024.1.5,None,2024-12-04 15h38.01.226574 +0530,
,blue,Pet,n,,,,,0,9,9,9,48.831293800030835,,,,,,,,,,,,,,,,,,,,,,,48.818717299960554,48.831293800030835,48.831293800030835,49.75074879999738,n,1,0.903742800001055,None,,,,,1,001,2024-12-04_15h37.52.852,recognition_memorySP,2024.1.5,None,2024-12-04 15h38.01.226574 +0530,
,green,friend,y,,,,,0,10,10,0,49.764330200036056,,,,,,,,,,,,,,,,,,,,,,,49.751580300042406,49.764330200036056,49.764330200036056,51.83412000001408,y,1,2.062789299990982,None,,,,,1,001,2024-12-04_15h37.52.852,recognition_memorySP,2024.1.5,None,2024-12-04 15h38.01.226574 +0530,
,green,phone,y,,,,,0,11,11,1,51.84775810001884,,,,,,,,,,,,,,,,,,,,,,,51.834865499986336,51.84775810001884,51.84775810001884,52.85023360000923,y,1,0.9933598999632522,None,,,,,1,001,2024-12-04_15h37.52.852,recognition_memorySP,2024.1.5,None,2024-12-04 15h38.01.226574 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.85116530000232,52.864792500040494,53.8647709999932,53.84986089996528,1,001,2024-12-04_15h37.52.852,recognition_memorySP,2024.1.5,None,2024-12-04 15h38.01.226574 +0530,
