trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,num_distr,fixation.started,target.started,mouse.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,0.10882730002049357,,0.0236942000919953,10,0.10882730002049357,0.10882730002049357,0.08329789992421865,3.6372783000115305,[-0.25],[-0.1962962962962963],[1],[0],[0],[3.552900299895555],['target'],2,001,2024-10-09_12h33.06.000,visualsearch,2024.1.5,None,2024-10-09 12h33.16.863421 +0530,
1,0,1,0,3.6697730000596493,,3.645415300037712,5,3.6697730000596493,3.6697730000596493,0.016663199989125133,5.779921200009994,[-0.0824074074074074],[-0.18796296296296297],[1],[0],[0],[2.11838739993982],['target'],2,001,2024-10-09_12h33.06.000,visualsearch,2024.1.5,None,2024-10-09 12h33.16.863421 +0530,
2,0,2,0,5.820927400025539,,5.7873634999850765,5,5.820927400025539,5.820927400025539,0.026822400046512485,7.8117906000697985,[0.1787037037037037],[-0.47962962962962963],[1],[0],[0],[1.9983947000000626],['target'],2,001,2024-10-09_12h33.06.000,visualsearch,2024.1.5,None,2024-10-09 12h33.16.863421 +0530,
3,0,3,0,7.860257500084117,,7.816027700086124,10,7.860257500084117,7.860257500084117,0.03427369997370988,11.479653600021265,[-0.4527777777777778],[-0.023148148148148147],[1],[0],[0],[3.629535299958661],['target'],2,001,2024-10-09_12h33.06.000,visualsearch,2024.1.5,None,2024-10-09 12h33.16.863421 +0530,
4,0,4,0,11.52744720003102,,11.484879299998283,10,11.52744720003102,11.52744720003102,0.032231700024567544,13.1448821000522,[-0.42592592592592593],[0.2462962962962963],[1],[0],[0],[1.6278576999902725],['target'],2,001,2024-10-09_12h33.06.000,visualsearch,2024.1.5,None,2024-10-09 12h33.16.863421 +0530,
5,0,5,0,13.173135200049728,,13.149134000064805,5,13.173135200049728,13.173135200049728,0.017451100051403046,14.578201600001194,[-0.12314814814814815],[-0.07962962962962963],[1],[0],[0],[1.4118540999479592],['target'],2,001,2024-10-09_12h33.06.000,visualsearch,2024.1.5,None,2024-10-09 12h33.16.863421 +0530,
6,0,6,0,14.610453300061636,,14.583683800068684,5,14.610453300061636,14.610453300061636,0.01919989997986704,16.29492510005366,[-0.11203703703703703],[-0.09444444444444444],[1],[0],[0],[1.6922895000316203],['target'],2,001,2024-10-09_12h33.06.000,visualsearch,2024.1.5,None,2024-10-09 12h33.16.863421 +0530,
7,0,7,0,16.340597900096327,,16.29884150007274,10,16.340597900096327,16.340597900096327,0.029838399961590767,17.561376900062896,[0.4148148148148148],[0.23425925925925925],[1],[0],[0],[1.2329796999692917],[],2,001,2024-10-09_12h33.06.000,visualsearch,2024.1.5,None,2024-10-09 12h33.16.863421 +0530,
8,0,8,0,17.61253799998667,,17.56541969999671,10,17.61253799998667,17.61253799998667,0.03218219999689609,18.927910400088876,[-0.23703703703703705],[0.10555555555555556],[1],[0],[0],[1.3304623999865726],['target'],2,001,2024-10-09_12h33.06.000,visualsearch,2024.1.5,None,2024-10-09 12h33.16.863421 +0530,
9,0,9,0,18.95778500009328,,18.931165200076066,5,18.95778500009328,18.95778500009328,0.018720799940638244,20.31135530001484,[0.3037037037037037],[0.21666666666666667],[1],[0],[0],[1.3617179000284523],['target'],2,001,2024-10-09_12h33.06.000,visualsearch,2024.1.5,None,2024-10-09 12h33.16.863421 +0530,
