trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,num_distr,fixation.started,target.started,mouse.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,0.05933069996535778,,0.01725469995290041,5,0.05933069996535778,0.05933069996535778,0.042770299944095314,2.4623088999651372,[-0.10092592592592593],[0.24351851851851852],[1],[0],[0],[2.418411200051196],['target'],4,001,2024-10-09_12h55.42.840,visualsearch,2024.1.5,None,2024-10-09 12h55.57.467999 +0530,
1,0,1,0,2.4912862998899072,,2.4675241999793798,5,2.4912862998899072,2.4912862998899072,0.01642799994442612,4.200669399928302,[-0.15555555555555556],[-0.16574074074074074],[1],[0],[0],[1.7167733000824228],['target'],4,001,2024-10-09_12h55.42.840,visualsearch,2024.1.5,None,2024-10-09 12h55.57.467999 +0530,
2,0,2,0,4.2346559999277815,,4.203835399937816,5,4.2346559999277815,4.2346559999277815,0.02329070004634559,5.917745199985802,[0.21574074074074073],[0.007407407407407408],[1],[0],[0],[1.690608200035058],['target'],4,001,2024-10-09_12h55.42.840,visualsearch,2024.1.5,None,2024-10-09 12h55.57.467999 +0530,
3,0,3,0,5.971381099894643,,5.922468699980527,10,5.971381099894643,5.971381099894643,0.03578559996094555,7.784411099972203,[0.05092592592592592],[0.06759259259259259],[1],[0],[0],[1.8264466000255197],['target'],4,001,2024-10-09_12h55.42.840,visualsearch,2024.1.5,None,2024-10-09 12h55.57.467999 +0530,
4,0,4,0,7.816250099916942,,7.790618099970743,5,7.816250099916942,7.816250099916942,0.01823239994700998,9.436872499994934,[0.2462962962962963],[0.2388888888888889],[1],[0],[0],[1.62821510003414],['target'],4,001,2024-10-09_12h55.42.840,visualsearch,2024.1.5,None,2024-10-09 12h55.57.467999 +0530,
5,0,5,0,9.489498999901116,,9.443264699890278,10,9.489498999901116,9.489498999901116,0.036828099982813,11.13656169991009,[0.32685185185185184],[0.24166666666666667],[1],[0],[0],[1.6570009000133723],['target'],4,001,2024-10-09_12h55.42.840,visualsearch,2024.1.5,None,2024-10-09 12h55.57.467999 +0530,
6,0,6,0,11.196494399919175,,11.140871599898674,10,11.196494399919175,11.196494399919175,0.03146070009097457,15.102461899979971,[-0.14722222222222223],[-0.3611111111111111],[1],[0],[0],[3.9300867000129074],['target'],4,001,2024-10-09_12h55.42.840,visualsearch,2024.1.5,None,2024-10-09 12h55.57.467999 +0530,
7,0,7,0,15.135013699997216,,15.1068598999409,5,15.135013699997216,15.135013699997216,0.021294900099746883,17.068055299925618,[-0.4675925925925926],[-0.1787037037037037],[1],[0],[0],[1.9401621000142768],['target'],4,001,2024-10-09_12h55.42.840,visualsearch,2024.1.5,None,2024-10-09 12h55.57.467999 +0530,
8,0,8,0,17.117006399901584,,17.07348619995173,10,17.117006399901584,17.117006399901584,0.03135259996633977,19.367612199974246,[0.24722222222222223],[0.3685185185185185],[1],[0],[0],[2.2631336000049487],['target'],4,001,2024-10-09_12h55.42.840,visualsearch,2024.1.5,None,2024-10-09 12h55.57.467999 +0530,
9,0,9,0,19.393757099984214,,19.37134949991014,5,19.393757099984214,19.393757099984214,0.015571999945677817,21.03750169998966,[0.06574074074074074],[0.4074074074074074],[1],[0],[0],[1.6502601000247523],['target'],4,001,2024-10-09_12h55.42.840,visualsearch,2024.1.5,None,2024-10-09 12h55.57.467999 +0530,
10,0,10,0,21.06914259993937,,21.04248499998357,5,21.06914259993937,21.06914259993937,0.019590099924243987,23.017995899892412,[0.06481481481481481],[-0.35462962962962963],[1],[0],[0],[1.956197899999097],['target'],4,001,2024-10-09_12h55.42.840,visualsearch,2024.1.5,None,2024-10-09 12h55.57.467999 +0530,
